Product Name,ASIN,Current URL,Amazon Product URL,Files Using This Link,Notes
Victorinox 8" Chef's Knife,B008M5U1C2,https://www.amazon.com/dp/B008M5U1C2?tag=chefapprovedt-20,https://www.amazon.com/dp/B008M5U1C2,"app/knives/page.tsx, app/guides/best-chef-knives/page.tsx, app/kitchen-bundle/page.tsx, app/reviews/victorinox-fibrox-8-inch-chefs-knife/page.tsx, app/best-budget-chef-knife/page.tsx",Most used product - appears in 5+ files
Victorinox 4" Paring Knife,B0001VQIP6,https://www.amazon.com/dp/B0001VQIP6?tag=chefapprovedt-20,https://www.amazon.com/dp/B0001VQIP6,"app/knives/page.tsx, app/kitchen-bundle/page.tsx, app/reviews/victorinox-4-inch-paring-knife/page.tsx",
Victorinox 9" Offset Bread Knife,B0019WZ7EW,https://www.amazon.com/dp/B0019WZ7EW?tag=chefapprovedt-20,https://www.amazon.com/dp/B0019WZ7EW,app/knives/page.tsx,Just fixed - needs short link
Wusthof Classic Ikon (Alternative),B0000CF94L,https://www.amazon.com/dp/B0000CF94L?tag=chefapprovedt-20,https://www.amazon.com/dp/B0000CF94L,app/guides/best-chef-knives/page.tsx,
Lodge Cast Iron 3-Skillet Bundle,B071FMVSYJ,https://www.amazon.com/dp/B071FMVSYJ?tag=chefapprovedt-20,https://www.amazon.com/dp/B071FMVSYJ,"app/kitchen-bundle/page.tsx, app/reviews/lodge-seasoned-cast-iron-3-skillet-bundle/page.tsx",
Diamond Crystal Kosher Salt,B0F79BC6J5,https://www.amazon.com/dp/B0F79BC6J5?tag=chefapprovedt-20,https://www.amazon.com/dp/B0F79BC6J5,app/kitchen-bundle/page.tsx,
Le Creuset 7.25 Qt Dutch Oven,B0076NOFSC,https://www.amazon.com/dp/B0076NOFSC?tag=chefapprovedt-20,https://www.amazon.com/dp/B0076NOFSC,"app/kitchen-bundle/page.tsx, app/reviews/le-creuset-signature-7-25-qt-dutch-oven/page.tsx",
KitchenAid NSF Commercial 8-Qt,B00IRH09EK,https://www.amazon.com/dp/B00IRH09EK?tag=chefapprovedt-20,https://www.amazon.com/dp/B00IRH09EK,"app/page.tsx, app/kitchen-bundle/page.tsx, app/reviews/kitchenaid-ksm8990wh/page.tsx",Featured on homepage
Benriner Mandoline,B0000Y6JDG,https://www.amazon.com/dp/B0000Y6JDG?tag=chefapprovedt-20,https://www.amazon.com/dp/B0000Y6JDG,"app/kitchen-bundle/page.tsx, app/reviews/benriner-large-mandoline/page.tsx",
Vitamix 5200 (Alternative),B008H4SLV6,https://www.amazon.com/dp/B008H4SLV6?tag=chefapprovedt-20,https://www.amazon.com/dp/B008H4SLV6,app/page.tsx,Featured on homepage
KitchenAid KP26M1XLC Professional 600,B0BRNWWGJ5,https://www.amazon.com/dp/B0BRNWWGJ5?tag=chefapprovedt-20,https://www.amazon.com/dp/B0BRNWWGJ5,app/reviews/kitchenaid-kp26m1xlc-professional-600/page.tsx,
Method All-Purpose Cleaner,B01N9J8HY4,https://www.amazon.com/dp/B01N9J8HY4?tag=chefapprovedt-20,https://www.amazon.com/dp/B01N9J8HY4,app/reviews/method-all-purpose-cleaner/page.tsx,
Cuisinart 8" Nonstick Pan,B00QZIMMO8,https://www.amazon.com/dp/B00QZIMMO8?tag=chefapprovedt-20,https://www.amazon.com/dp/B00QZIMMO8,app/reviews/cuisinart-8-inch-nonstick-pan/page.tsx,
Cuisinart DLC-10C Food Processor,B01AXM4SB6,https://www.amazon.com/dp/B01AXM4SB6?tag=chefapprovedt-20,https://www.amazon.com/dp/B01AXM4SB6,app/reviews/cuisinart-dlc-10c-classic-food-processor/page.tsx,
Black & Decker Toaster Oven,B00TXFBWC0,Has proper linkCode format,https://www.amazon.com/dp/B00TXFBWC0,app/reviews/black-decker-toaster-oven/page.tsx,"Already compliant, but could convert to short link for consistency"
Norton IM200 Tri-Stone,B000XK0FMU,Has proper linkCode format,https://www.amazon.com/dp/B000XK0FMU,app/reviews/norton-im200-tri-stone-sharpener/page.tsx,"Already compliant, but could convert to short link for consistency"
Nordic Ware Half Sheet Pan,B0049C2S32,Has proper linkCode format,https://www.amazon.com/dp/B0049C2S32,app/reviews/nordic-ware-half-sheet-pan/page.tsx,"Already compliant, but could convert to short link for consistency"
Bodum Chambord French Press,B00005LM0S,Full URL with product name,https://www.amazon.com/Bodum-Chambord-French-Coffee-Stainless/dp/B00005LM0S,app/reviews/bodum-chambord-french-press/page.tsx,Has linkCode but could be shortened
Affordable Appliances - Toaster,B00939I7EK,https://www.amazon.com/dp/B00939I7EK?tag=chefapprovedtools-20,https://www.amazon.com/dp/B00939I7EK,app/guides/affordable-kitchen-appliances/page.tsx,Note: Wrong tag (chefapprovedtools instead of chefapprovedt)
Affordable Appliances - Microwave,B00005UP2K,https://www.amazon.com/dp/B00005UP2K?tag=chefapprovedtools-20,https://www.amazon.com/dp/B00005UP2K,app/guides/affordable-kitchen-appliances/page.tsx,Note: Wrong tag (chefapprovedtools instead of chefapprovedt)
Affordable Appliances - Food Processor,B01AXM4SLY,https://www.amazon.com/dp/B01AXM4SLY?tag=chefapprovedtools-20,https://www.amazon.com/dp/B01AXM4SLY,app/guides/affordable-kitchen-appliances/page.tsx,Note: Wrong tag (chefapprovedtools instead of chefapprovedt)
Affordable Appliances - Electric Kettle,B06Y1MP2PY,https://www.amazon.com/dp/B06Y1MP2PY?tag=chefapprovedtools-20,https://www.amazon.com/dp/B06Y1MP2PY,app/guides/affordable-kitchen-appliances/page.tsx,Note: Wrong tag (chefapprovedtools instead of chefapprovedt)
Affordable Appliances - Slow Cooker,B07FDJMC9Q,https://www.amazon.com/dp/B07FDJMC9Q?tag=chefapprovedtools-20,https://www.amazon.com/dp/B07FDJMC9Q,app/guides/affordable-kitchen-appliances/page.tsx,Note: Wrong tag (chefapprovedtools instead of chefapprovedt)
Affordable Appliances - Air Fryer,B0CGNZX7QY,https://www.amazon.com/dp/B0CGNZX7QY?tag=chefapprovedtools-20,https://www.amazon.com/dp/B0CGNZX7QY,app/guides/affordable-kitchen-appliances/page.tsx,Note: Wrong tag (chefapprovedtools instead of chefapprovedt)
Data File - Robot Coupe,B00005AL5F,https://www.amazon.com/dp/B00005AL5F?tag=chefapprovedt-20,https://www.amazon.com/dp/B00005AL5F,data/products.ts,In product data file
Data File - Vitamix Alternative,B00004RFMT,https://www.amazon.com/dp/B00004RFMT?tag=chefapprovedt-20,https://www.amazon.com/dp/B00004RFMT,data/products.ts,In product data file
