Product Name,ASIN,Current Link Format,Amazon Product Page URL,File Locations,Link Type,Status,Priority
Victorinox 8" Chef's Knife,B008M5U1C2,Direct ASIN-only,https://www.amazon.com/dp/B008M5U1C2,"app/knives/page.tsx, app/guides/best-chef-knives/page.tsx, app/kitchen-bundle/page.tsx, app/reviews/victorinox-fibrox-8-inch-chefs-knife/page.tsx, app/best-budget-chef-knife/page.tsx, app/blog/how-to-steel-a-knife/page.tsx (7 instances)",Direct,❌ Needs short link,HIGH - Most used (6+ files)
Victorinox 4" Paring Knife,B0001VQIP6,Direct ASIN-only,https://www.amazon.com/dp/B0001VQIP6,"app/knives/page.tsx, app/kitchen-bundle/page.tsx, app/reviews/victorinox-4-inch-paring-knife/page.tsx",Direct,❌ Needs short link,HIGH
Victorinox 10" Chef's Knife,B0000CF94L,Direct ASIN-only,https://www.amazon.com/dp/B0000CF94L,"app/guides/best-chef-knives/page.tsx, app/blog/how-to-steel-a-knife/page.tsx (4 instances)",Direct,❌ Needs short link,HIGH
Victorinox 9" Offset Bread Knife,B0019WZ7EW,Direct ASIN-only,https://www.amazon.com/dp/B0019WZ7EW,app/knives/page.tsx,Direct,❌ Needs short link,MEDIUM
Henckels 10" Sharpening Steel,B00004RFMT,Direct ASIN-only,https://www.amazon.com/dp/B00004RFMT,app/blog/how-to-steel-a-knife/page.tsx (4 instances),Direct,❌ Needs short link,HIGH
Lodge Cast Iron 3-Skillet Bundle,B071FMVSYJ,Direct ASIN-only,https://www.amazon.com/dp/B071FMVSYJ,"app/kitchen-bundle/page.tsx, app/reviews/lodge-seasoned-cast-iron-3-skillet-bundle/page.tsx",Direct,❌ Needs short link,MEDIUM
Diamond Crystal Kosher Salt,B0F79BC6J5,Direct ASIN-only,https://www.amazon.com/dp/B0F79BC6J5,app/kitchen-bundle/page.tsx,Direct,❌ Needs short link,MEDIUM
Le Creuset 7.25 Qt Dutch Oven,B0076NOFSC,Direct ASIN-only,https://www.amazon.com/dp/B0076NOFSC,"app/kitchen-bundle/page.tsx, app/reviews/le-creuset-signature-7-25-qt-dutch-oven/page.tsx",Direct,❌ Needs short link,HIGH
KitchenAid NSF Commercial 8-Qt,B00IRH09EK,Direct ASIN-only,https://www.amazon.com/dp/B00IRH09EK,"app/page.tsx, app/kitchen-bundle/page.tsx, app/reviews/kitchenaid-ksm8990wh/page.tsx",Direct,❌ Needs short link,HIGH - On homepage
Benriner Mandoline,B0000Y6JDG,Direct ASIN-only,https://www.amazon.com/dp/B0000Y6JDG,"app/kitchen-bundle/page.tsx, app/reviews/benriner-large-mandoline/page.tsx",Direct,❌ Needs short link,MEDIUM
Vitamix 5200 (Alternative ASIN),B008H4SLV6,Direct ASIN-only,https://www.amazon.com/dp/B008H4SLV6,app/page.tsx,Direct,❌ Needs short link,HIGH - On homepage
KitchenAid KP26M1XLC Professional 600,B0BRNWWGJ5,Direct ASIN-only,https://www.amazon.com/dp/B0BRNWWGJ5,app/reviews/kitchenaid-kp26m1xlc-professional-600/page.tsx,Direct,❌ Needs short link,MEDIUM
Method All-Purpose Cleaner,B01N9J8HY4,Direct ASIN-only,https://www.amazon.com/dp/B01N9J8HY4,app/reviews/method-all-purpose-cleaner/page.tsx,Direct,❌ Needs short link,LOW
Cuisinart 8" Nonstick Pan,B00QZIMMO8,Direct ASIN-only,https://www.amazon.com/dp/B00QZIMMO8,app/reviews/cuisinart-8-inch-nonstick-pan/page.tsx,Direct,❌ Needs short link,MEDIUM
Cuisinart DLC-10C Food Processor,B01AXM4SB6,Direct ASIN-only,https://www.amazon.com/dp/B01AXM4SB6,app/reviews/cuisinart-dlc-10c-classic-food-processor/page.tsx,Direct,❌ Needs short link,MEDIUM
